Policy_ID,Policy_Start_Date,Incident_Date,Customer_Age,Gender,Education,State,Driver_Experience,Previous_Claims,Traffic_Violations,At_Fault,Vehicle_Make,Vehicle_Type,Vehicle_Age,Vehicle_Value,Policy_Type,Annual_Premium,Deductible,Incident_Type,Injury_Severity,Num_Vehicles_Involved,Police_Report_Filed,Witnesses,Claim_Amount,Claim_Status,Processing_Days,Settlement_Amount,Fraud_Flag
POL00038,2020-05-06,2020-07-08,65,Female,Bachelor,Tamil Nadu,47,0,1,Yes,Volkswagen,Sedan,13,1825134,Standard,1147.14,5000,Collision,Moderate,3,Yes,0,619561.26,Approved,52,608914.4,0
POL00039,2022-05-04,2022-10-09,48,Male,PhD,Delhi,30,2,0,Yes,Volkswagen,Hatchback,3,2109746,Comprehensive,1176.23,2500,Theft,Moderate,2,Yes,0,1292698.12,Pending,21,0.0,0
POL00040,2019-04-20,2019-10-26,36,Male,Master,Gujarat,18,1,0,No,Mahindra,Hatchback,9,1328906,Basic,800.0,0,Collision,Fatal,4,No,0,387526.34,Rejected,54,0.0,1
POL00041,2020-12-18,2021-04-15,26,Female,Bachelor,UP,8,2,0,Yes,Volkswagen,Hatchback,10,1858693,Standard,1147.79,1000,Collision,Fatal,1,Yes,3,312351.22,Rejected,66,0.0,0
POL00042,2019-05-26,2019-09-25,46,Male,Master,Rajasthan,28,2,0,Yes,Ford,SUV,10,2101941,Basic,964.81,2500,Flood,Moderate,4,No,4,1182273.11,Approved,36,1038932.39,0
POL00043,2022-09-02,2023-08-24,71,Male,Bachelor,Karnataka,50,1,0,No,Mahindra,SUV,7,1587204,Comprehensive,1734.82,1000,Collision,None,3,Yes,1,561994.28,Pending,77,0.0,0
POL00044,2022-02-08,2022-11-05,68,Female,Master,Maharashtra,50,0,2,Yes,Toyota,Hatchback,8,2456169,Basic,1196.05,1000,Collision,None,2,Yes,4,241213.33,Rejected,110,0.0,0
POL00045,2019-12-01,2020-11-17,56,Male,Bachelor,Gujarat,38,3,1,Yes,Honda,Sedan,7,398812,Basic,1233.06,1000,Natural Disaster,Minor,3,Yes,2,218063.11,Approved,32,197639.04,0
POL00046,2020-09-02,2022-01-12,21,Male,Bachelor,Gujarat,3,1,0,No,Volkswagen,Sedan,11,2482244,Standard,800.0,1000,Theft,Moderate,4,Yes,1,1705058.26,Approved,45,1667847.39,0
POL00047,2022-12-12,2024-02-18,20,Female,Bachelor,Rajasthan,2,0,0,Yes,Toyota,Coupe,16,2978914,Standard,800.0,5000,Theft,None,2,Yes,5,1715175.77,Approved,32,1585160.17,0
POL00048,2018-07-09,2018-12-02,73,Female,Bachelor,Delhi,50,1,2,Yes,Kia,SUV,14,788527,Standard,1323.17,5000,Collision,Minor,3,Yes,3,641246.28,Approved,16,600229.29,0
POL00049,2020-08-15,2020-12-16,46,Male,Bachelor,Maharashtra,28,0,1,No,Honda,Truck,18,2061674,Comprehensive,1312.88,0,Collision,Severe,3,No,1,273189.75,Pending,40,0.0,0
POL00050,2019-11-18,2020-05-28,69,Female,Bachelor,Tamil Nadu,50,2,0,No,Honda,Sedan,19,1459036,Standard,918.38,0,Flood,Minor,2,Yes,1,535935.65,Approved,30,484379.67,0
POL00051,2020-08-15,2020-12-21,28,Female,Bachelor,Tamil Nadu,10,0,1,No,Maruti,Sedan,5,1018895,Basic,883.99,0,Theft,Moderate,3,Yes,1,959428.34,Rejected,40,0.0,1
POL00052,2019-07-17,2019-12-06,50,Male,Master,Punjab,32,1,1,Yes,Mahindra,SUV,4,2311689,Standard,1675.27,2500,Collision,Minor,1,Yes,0,1952291.63,Rejected,41,0.0,1
POL00053,2022-05-10,2023-06-02,55,Male,Master,Karnataka,37,2,0,No,Honda,Coupe,7,707426,Basic,800.0,5000,Collision,Severe,3,No,2,126368.46,Approved,14,78581.23,0
POL00054,2021-06-21,2021-10-19,28,Male,Bachelor,West Bengal,10,0,1,No,BMW,Truck,17,1600674,Basic,800.0,1000,Collision,None,4,Yes,5,1283494.51,Pending,13,0.0,1
POL00055,2020-04-11,2021-04-21,44,Male,PhD,Rajasthan,26,0,0,No,Ford,Sedan,14,742802,Basic,800.0,2500,Theft,None,3,Yes,3,705661.9,Approved,20,590362.67,0
POL00056,2022-03-09,2022-10-30,50,Male,Bachelor,Delhi,32,1,0,No,Hyundai,Van,2,2469717,Basic,806.21,0,Vandalism,Minor,2,Yes,5,1658465.83,Pending,118,0.0,0
POL00057,2021-02-28,2021-04-15,38,Non-Binary,Master,Maharashtra,20,2,0,Yes,Kia,SUV,13,2832957,Comprehensive,1260.62,0,Theft,Minor,1,No,2,1503521.2,Approved,20,919053.22,0
POL00058,2022-02-17,2022-12-17,56,Female,Bachelor,Delhi,38,0,1,No,Honda,Sedan,14,1790517,Comprehensive,964.4,0,Natural Disaster,Minor,3,Yes,0,500238.11,Approved,18,315464.9,0
POL00059,2019-10-09,2020-04-28,48,Female,High School,West Bengal,30,1,1,No,Hyundai,Sedan,12,1722218,Standard,959.86,5000,Fire,Moderate,3,Yes,3,460100.09,Approved,55,288671.55,0
POL00060,2018-01-21,2018-06-15,55,Female,High School,Tamil Nadu,37,0,0,No,Tata,SUV,19,2968504,Comprehensive,1121.94,0,Fire,Severe,4,Yes,5,1463224.03,Approved,29,1245212.11,0
POL00061,2020-04-20,2021-05-03,63,Female,Master,Delhi,45,1,0,No,Maruti,Hatchback,8,2322015,Third-Party,1060.56,1000,Natural Disaster,None,4,Yes,0,336231.6,Approved,5,220952.7,0
POL00062,2018-06-16,2019-10-26,19,Male,Bachelor,Tamil Nadu,1,0,0,No,BMW,Sedan,16,1256574,Standard,800.0,2500,Natural Disaster,Minor,3,Yes,3,889024.64,Under Review,59,0.0,0
POL00063,2021-07-21,2022-02-16,44,Male,Master,Tamil Nadu,26,1,2,No,Volkswagen,Van,18,1570651,Standard,800.0,2500,Theft,Fatal,4,Yes,3,1492118.45,Rejected,58,0.0,1
POL00064,2019-01-23,2019-05-23,53,Female,Bachelor,Karnataka,35,0,0,Yes,Tata,Hatchback,3,1153515,Third-Party,800.0,0,Theft,Minor,3,Yes,4,1095839.25,Approved,20,850893.66,0
POL00065,2019-08-24,2019-12-13,28,Male,Bachelor,Tamil Nadu,10,1,0,Yes,Ford,Truck,19,1675657,Comprehensive,1245.4,1000,Collision,Moderate,2,Yes,0,379149.46,Approved,37,309027.75,0
POL00066,2018-11-12,2019-10-31,64,Male,Bachelor,Telangana,46,2,0,Yes,BMW,Hatchback,9,994769,Comprehensive,1136.24,2500,Natural Disaster,Severe,3,No,2,593502.47,Rejected,52,0.0,0
POL00067,2018-01-14,2019-05-07,35,Female,Master,Tamil Nadu,17,0,0,No,Kia,Hatchback,2,2252710,Comprehensive,1459.47,1000,Theft,Severe,2,Yes,5,2140074.5,Rejected,74,0.0,1
POL00068,2018-08-30,2019-01-20,18,Female,Bachelor,Maharashtra,0,1,0,Yes,Hyundai,SUV,18,266895,Standard,800.0,2500,Collision,None,1,Yes,0,22261.38,Approved,32,21504.44,0
POL00069,2020-02-16,2020-11-28,52,Male,Master,Maharashtra,34,1,1,No,Maruti,Hatchback,8,254118,Comprehensive,985.57,1000,Collision,None,2,Yes,5,130557.9,Approved,54,87776.0,0
POL00070,2021-10-01,2021-12-27,52,Female,Bachelor,Maharashtra,34,3,0,Yes,Honda,Convertible,4,1967376,Comprehensive,1179.12,0,Theft,Severe,1,Yes,0,1869007.2,Rejected,39,0.0,1
POL00071,2019-07-19,2020-01-18,48,Male,Master,Gujarat,30,2,1,Yes,Kia,Hatchback,13,64389,Standard,882.75,1000,Vandalism,Moderate,1,Yes,0,13768.15,Approved,6,9479.96,0
POL00072,2020-06-16,2021-07-15,45,Female,High School,Rajasthan,27,1,0,Yes,Tata,SUV,6,2468090,Comprehensive,1602.69,2500,Collision,Minor,1,Yes,4,808369.73,Pending,117,0.0,0
POL00073,2021-09-25,2022-12-02,56,Male,High School,Rajasthan,38,0,2,No,Mahindra,SUV,5,2405277,Third-Party,1132.62,5000,Flood,Severe,4,Yes,4,238494.96,Approved,55,230058.96,0
POL00074,2018-04-02,2018-08-25,18,Female,Bachelor,Rajasthan,0,0,1,No,Kia,Convertible,7,2295389,Comprehensive,874.76,2500,Vandalism,Moderate,3,No,4,1013325.97,Approved,48,848508.89,0
POL00075,2021-10-22,2022-10-29,42,Male,Bachelor,Telangana,24,0,0,No,Hyundai,Sedan,1,266560,Standard,886.39,1000,Collision,Moderate,2,Yes,4,140660.5,Pending,83,0.0,0
POL00076,2020-08-13,2021-06-04,60,Female,High School,Maharashtra,42,0,0,Yes,Hyundai,Truck,13,2040827,Comprehensive,1276.75,2500,Collision,None,1,Yes,0,1317733.23,Approved,46,1213870.68,0
POL00077,2022-01-18,2022-12-28,55,Male,Master,Punjab,37,1,0,No,Kia,SUV,6,1391989,Basic,1007.42,5000,Collision,Moderate,2,Yes,2,161200.62,Approved,51,138120.1,0
POL00078,2021-12-22,2022-08-11,37,Male,Bachelor,Rajasthan,19,0,1,No,Hyundai,SUV,2,2290185,Third-Party,1050.44,5000,Flood,None,1,Yes,1,878256.72,Approved,41,787994.19,0
POL00079,2019-05-24,2019-08-02,20,Male,Bachelor,West Bengal,2,0,2,No,Kia,Truck,19,2919483,Comprehensive,800.0,0,Vandalism,None,4,No,0,747531.55,Under Review,70,0.0,1
POL00080,2020-02-15,2020-06-28,68,Male,High School,West Bengal,50,2,0,No,Toyota,Sedan,5,2627423,Basic,1076.33,5000,Theft,Minor,1,No,5,1622746.45,Pending,47,0.0,0
POL00081,2018-02-04,2019-03-29,19,Male,Bachelor,Delhi,1,0,1,No,Volkswagen,SUV,13,437809,Standard,970.88,0,Collision,Severe,1,Yes,2,158109.74,Pending,45,0.0,0
POL00082,2018-07-25,2019-09-05,35,Male,Bachelor,Gujarat,17,1,0,No,Volkswagen,Sedan,11,2872993,Comprehensive,991.52,5000,Vandalism,Severe,3,No,1,1020641.18,Approved,27,1003258.68,0
POL00083,2021-01-09,2021-08-19,61,Female,Bachelor,Punjab,43,2,0,Yes,Tata,Hatchback,17,1718591,Standard,1160.56,1000,Collision,Fatal,2,Yes,1,1190306.18,Approved,27,908819.81,0
POL00084,2022-05-05,2023-07-09,27,Female,Master,Tamil Nadu,9,2,1,No,Ford,Sedan,11,301465,Basic,800.0,2500,Hit & Run,None,3,Yes,4,122174.51,Rejected,96,0.0,0
POL00085,2021-11-12,2022-09-15,22,Male,Bachelor,Maharashtra,4,1,3,Yes,Tata,Sedan,6,538658,Standard,811.52,1000,Natural Disaster,Moderate,4,Yes,1,52075.81,Rejected,40,0.0,0
POL00086,2020-10-22,2021-11-09,26,Female,Master,Telangana,8,1,0,No,Hyundai,Coupe,4,442989,Comprehensive,1178.72,2500,Fire,None,2,Yes,5,136526.17,Rejected,11,0.0,0
POL00087,2020-10-18,2021-07-11,19,Male,High School,Gujarat,1,1,0,No,Honda,SUV,11,84627,Standard,862.47,5000,Theft,Moderate,4,Yes,5,45954.8,Approved,37,31439.86,0
POL00088,2021-11-14,2023-02-11,51,Male,Bachelor,Karnataka,33,0,0,No,Kia,Sedan,8,1681558,Comprehensive,1306.69,1000,Collision,Minor,1,Yes,2,355831.3,Approved,58,254526.55,0
POL00089,2019-07-20,2020-03-26,55,Male,High School,Karnataka,37,1,0,No,BMW,Hatchback,10,1102495,Standard,1154.19,2500,Collision,Fatal,4,No,4,274912.51,Approved,45,268877.14,0
POL00090,2021-02-03,2021-05-11,48,Female,Master,UP,30,0,0,Yes,Mahindra,SUV,3,2092482,Basic,800.0,2500,Hit & Run,None,2,Yes,0,1726490.13,Rejected,65,0.0,1
POL00091,2022-12-01,2023-07-15,27,Male,Bachelor,Tamil Nadu,9,2,0,Yes,Tata,SUV,13,2776134,Standard,1374.98,1000,Theft,Moderate,2,Yes,0,2637327.3,Rejected,105,0.0,1
POL00092,2022-02-09,2022-11-21,67,Non-Binary,Master,Maharashtra,49,1,0,Yes,Mahindra,Van,11,1360886,Standard,1137.82,5000,Collision,None,2,No,4,752572.2,Approved,24,570625.61,0
POL00093,2019-12-04,2020-05-20,29,Male,Bachelor,Gujarat,11,1,1,No,Maruti,Truck,17,1609992,Third-Party,849.12,10000,Vandalism,None,3,Yes,4,407335.48,Pending,96,0.0,0
POL00094,2019-02-06,2020-01-13,53,Male,Master,Karnataka,35,1,1,No,Mahindra,Sedan,6,1261070,Third-Party,1050.6,1000,Flood,None,1,No,1,247839.71,Approved,55,189422.25,0
POL00095,2019-12-31,2021-04-08,71,Male,Bachelor,UP,50,1,1,No,BMW,Hatchback,0,2714047,Standard,1240.65,5000,Collision,Minor,2,Yes,1,1961653.05,Under Review,83,0.0,1
POL00096,2022-04-29,2022-10-24,38,Female,High School,Telangana,20,0,2,No,Volkswagen,Sedan,12,2077169,Standard,800.0,1000,Natural Disaster,None,4,Yes,2,227026.06,Approved,58,222538.32,0
POL00097,2018-06-11,2018-10-17,66,Female,Bachelor,Maharashtra,48,0,2,No,Toyota,Sedan,15,1921177,Third-Party,862.95,10000,Collision,Minor,4,Yes,4,1161611.88,Rejected,76,0.0,0
POL00098,2018-07-21,2018-11-03,64,Female,Bachelor,Karnataka,46,0,1,Yes,Hyundai,Van,4,416914,Standard,1703.87,2500,Flood,Minor,4,Yes,0,119159.01,Approved,6,80084.32,0
POL00099,2020-09-22,2021-07-30,23,Female,Bachelor,Rajasthan,5,1,2,Yes,Tata,SUV,18,252780,Standard,893.89,10000,Collision,None,2,Yes,2,112369.34,Approved,6,77403.69,0
POL00100,2018-09-27,2019-11-01,65,Female,High School,West Bengal,47,2,1,No,Volkswagen,Coupe,8,816690,Basic,800.0,0,Theft,Moderate,2,Yes,0,775855.5,Under Review,10,0.0,1
POL00101,2020-03-26,2021-06-01,66,Female,Master,UP,48,0,0,Yes,Maruti,Sedan,8,2671982,Comprehensive,1576.42,5000,Theft,Minor,4,No,0,1283293.16,Approved,14,883705.58,0
POL00102,2021-07-18,2021-12-03,20,Male,Bachelor,Telangana,2,1,0,Yes,Hyundai,Sedan,11,2401054,Standard,800.0,2500,Fire,Fatal,4,Yes,2,555170.66,Approved,32,336040.81,0
POL00103,2019-04-01,2019-11-04,27,Female,Bachelor,Karnataka,9,4,0,No,Honda,SUV,17,2715984,Comprehensive,1139.14,1000,Collision,None,1,Yes,0,1547800.24,Approved,19,1462311.62,0
POL00104,2022-01-25,2022-09-10,22,Male,Bachelor,Telangana,4,1,0,Yes,Volkswagen,SUV,9,1388970,Standard,913.83,5000,Theft,None,2,Yes,4,1319521.5,Approved,22,1151116.17,0
POL00105,2022-10-17,2023-09-14,63,Female,Bachelor,Tamil Nadu,45,0,2,Yes,Hyundai,Truck,16,992005,Basic,1139.78,2500,Natural Disaster,None,4,No,5,255398.39,Under Review,113,0.0,0
POL00106,2021-06-29,2022-06-20,43,Female,High School,Delhi,25,1,1,Yes,Volkswagen,Hatchback,18,2333718,Basic,800.0,10000,Flood,Minor,2,Yes,4,399233.81,Approved,31,263004.92,0
POL00107,2020-10-13,2021-04-14,38,Female,High School,UP,20,1,3,No,Ford,Hatchback,10,2668026,Third-Party,800.0,1000,Natural Disaster,None,1,No,2,2105288.83,Rejected,11,0.0,1
POL00108,2022-09-22,2022-11-30,62,Male,Master,Gujarat,44,3,0,No,Honda,Hatchback,15,1198640,Third-Party,900.43,10000,Collision,None,3,Yes,0,880971.43,Pending,15,0.0,1
POL00109,2018-10-23,2019-04-03,43,Female,Bachelor,Gujarat,25,2,1,No,Ford,Truck,7,555985,Comprehensive,1224.88,2500,Collision,Severe,2,Yes,0,489676.92,Rejected,33,0.0,1
POL00110,2022-10-15,2023-12-23,55,Female,Bachelor,Karnataka,37,1,1,Yes,BMW,Coupe,14,823993,Basic,800.0,2500,Hit & Run,None,2,Yes,1,129700.9,Pending,87,0.0,0
POL00111,2019-12-21,2021-04-25,61,Male,High School,Rajasthan,43,1,0,No,Honda,SUV,10,2882514,Standard,1252.57,0,Hit & Run,Minor,1,Yes,3,2272879.75,Rejected,45,0.0,1
POL00112,2022-11-08,2023-04-18,43,Male,Bachelor,Rajasthan,25,1,0,Yes,BMW,Truck,6,953821,Standard,1366.92,5000,Collision,Moderate,2,Yes,2,488464.11,Approved,18,452473.56,0
POL00113,2018-12-04,2019-10-08,25,Female,High School,Tamil Nadu,7,1,0,Yes,BMW,SUV,1,2211488,Standard,1093.23,5000,Vandalism,None,4,Yes,5,1280251.81,Approved,35,1140030.87,0
POL00114,2020-05-28,2021-06-23,22,Female,Bachelor,Gujarat,4,0,0,No,Maruti,Hatchback,18,1367030,Third-Party,800.0,5000,Collision,Minor,1,No,0,567022.16,Rejected,35,0.0,1
POL00115,2020-12-12,2021-04-04,32,Male,Bachelor,UP,14,0,0,No,Hyundai,Coupe,8,2577616,Basic,800.0,5000,Flood,Minor,3,No,2,855552.26,Approved,50,617326.26,0
POL00116,2020-03-02,2021-05-04,33,Male,Bachelor,West Bengal,15,1,0,Yes,Mahindra,Sedan,17,2029946,Comprehensive,921.64,10000,Collision,None,1,No,1,286259.38,Pending,96,0.0,0
POL00117,2018-08-05,2019-05-03,18,Male,PhD,Rajasthan,0,1,0,No,Mahindra,Hatchback,12,253867,Standard,800.0,5000,Theft,Moderate,4,No,2,159238.09,Approved,30,131564.83,0
POL00118,2020-02-03,2020-06-27,33,Male,Bachelor,Gujarat,15,1,1,Yes,Ford,Convertible,0,427573,Comprehensive,1402.44,10000,Natural Disaster,Severe,2,Yes,4,271160.12,Approved,31,255990.8,0
POL00119,2018-07-07,2018-11-22,54,Female,Bachelor,Delhi,36,1,0,Yes,Kia,SUV,18,592906,Comprehensive,1157.83,5000,Flood,Moderate,1,Yes,0,178829.47,Rejected,69,0.0,0
POL00120,2019-01-15,2019-09-22,20,Female,Bachelor,UP,2,2,1,No,Mahindra,Coupe,12,231837,Standard,800.0,5000,Flood,None,4,Yes,1,33947.34,Under Review,77,0.0,0
POL00121,2019-05-08,2020-07-02,69,Female,High School,West Bengal,50,1,1,No,Mahindra,Sedan,13,381216,Basic,1018.58,1000,Collision,Severe,4,Yes,4,277535.11,Approved,21,184121.85,0
POL00122,2020-11-30,2021-02-08,64,Male,Master,Delhi,46,0,0,Yes,Honda,Hatchback,16,2064990,Standard,1007.23,2500,Hit & Run,Severe,4,No,3,1032483.32,Pending,32,0.0,0
POL00123,2021-03-26,2022-04-27,48,Female,Bachelor,Gujarat,30,0,0,Yes,Volkswagen,Coupe,19,66941,Third-Party,800.0,1000,Fire,None,1,No,3,2724.85,Pending,117,0.0,0
POL00124,2018-01-15,2018-07-10,30,Male,High School,Karnataka,12,0,0,No,Ford,SUV,0,227670,Standard,1213.04,0,Fire,None,1,No,2,132278.0,Approved,29,100491.47,0
POL00125,2018-03-06,2018-07-25,73,Male,Master,Punjab,50,0,0,Yes,Ford,SUV,4,2292217,Basic,1379.11,2500,Flood,Severe,1,No,0,1738911.12,Rejected,31,0.0,1
POL00126,2019-06-05,2019-10-15,33,Male,High School,Punjab,15,0,1,No,Maruti,Sedan,19,1913794,Comprehensive,800.0,5000,Collision,Moderate,3,No,3,1285283.74,Under Review,113,0.0,0
POL00127,2021-09-29,2021-12-13,72,Male,PhD,Tamil Nadu,50,0,0,Yes,BMW,Sedan,13,2187350,Standard,1126.26,0,Theft,None,4,Yes,1,2077982.5,Approved,59,1910337.03,0
POL00128,2021-02-26,2022-05-13,60,Male,Master,Tamil Nadu,42,2,1,Yes,BMW,SUV,17,1022718,Standard,1167.44,1000,Hit & Run,None,1,Yes,0,317076.41,Approved,42,253054.39,0
POL00129,2019-10-10,2020-09-27,38,Male,Bachelor,West Bengal,20,1,0,No,Toyota,Coupe,12,409418,Standard,800.0,0,Collision,None,1,No,5,52587.71,Pending,91,0.0,0
